full_name_paper,adm1_name,adm2_name,lat,long,stoolsexaminedgeo,hk_np
Bukoma,Western,Busia,0.0865,33.9595,73,45
St Cecilia,Western,Busia,0.09733,33.973,73,30
Lunyofu,Western,Busia,0.08167,33.9805,73,64
Musoma Budalangi,Western,Busia,0.06217,33.9818,88,73
Bubango,Western,Busia,0.10633,33.9903,74,40
Sisenye,Western,Busia,0.15917,33.9988,219,104
Busembe,Western,Busia,0.1905,34.0083,74,63
Busijo,Western,Busia,0.1995,34.0122,55,44
Bujwanga,Western,Busia,0.22233,34.0212,61,30
Namunyweda,Western,Busia,0.1835,34.03,49,38
Sigulu,Western,Busia,0.28033,34.06,74,70
Agenga,Western,Busia,0.24367,34.0637,65,37
Namalo,Western,Busia,0.14483,34.0702,74,53
Rumbiye,Western,Busia,0.2135,34.0732,79,63
Bwangangi,Western,Busia,0.346,34.0853,75,66
Buduta,Western,Busia,0.20683,34.0892,75,68
Namuduru,Western,Busia,0.17617,34.0925,73,63
Madola,Western,Busia,0.242,34.0968,56,44
Nambuku,Western,Busia,0.318,34.11,54,47
Sagania,Western,Busia,0.30517,34.1275,79,57
Busulere,Western,Busia,0.3235,34.1292,74,56
Nyakhobi,Western,Busia,0.31867,34.1333,59,41
Kabwodo,Western,Busia,0.3095,34.1758,75,67
Mundaya,Western,Busia,0.32,34.1793,49,44
Nyakasumbi,Nyanza,Bondo,-0.08,34.23,296,63
Bar Konwino,Nyanza,Bondo,-0.13,34.235,165,46
Uloma,Nyanza,Bondo,-0.077933,34.2565,151,58
Nyawita,Nyanza,Bondo,-0.063817,34.2804,103,11
Siger,Nyanza,Bondo,-0.120418,34.3458,48,14
Ujuang'a,Nyanza,Bondo,-0.16936,34.347,39,21
Rambugu,Nyanza,Bondo,-0.094055,34.354,40,28
Rambira,Nyanza,Bondo,-0.104715,34.3557,50,20
Ndwara,Nyanza,Bondo,-0.17747,34.3561,39,17
Lwak Mixed,Nyanza,Bondo,-0.13654,34.3567,41,25
Maugo,Nyanza,Bondo,-0.14751,34.3626,34,12
Memba,Nyanza,Bondo,-0.15717,34.3647,34,8
Mabinju,Nyanza,Bondo,-0.1795,34.369,36,9
Atemo,Nyanza,Bondo,-0.13498,34.3691,32,9
Kitambo,Nyanza,Bondo,-0.08823,34.37,40,8
St Lazarus,Nyanza,Bondo,-0.069794,34.3729,42,18
Got Bondo,Nyanza,Bondo,-0.10359,34.3751,29,13
Majango,Nyanza,Bondo,-0.12567,34.3754,34,15
Ongielo,Nyanza,Bondo,-0.173728,34.3794,40,23
Saradidi,Nyanza,Bondo,-0.12298,34.3826,39,11
Kaminogedo,Nyanza,Bondo,-0.149608,34.3827,37,26
Ramba,Nyanza,Bondo,-0.080215,34.3851,36,17
Raliew,Nyanza,Bondo,-0.178254,34.3866,78,32
Kamalumbe,Nyanza,Bondo,-0.13778,34.3883,27,9
Nguka,Nyanza,Bondo,-0.149338,34.3928,49,23
Powo,Nyanza,Bondo,-0.128487,34.3952,39,19
Kusa,Nyanza,Bondo,-0.07504,34.3954,37,20
Okiro,Nyanza,Bondo,-0.161663,34.3968,48,23
Aduoyo,Nyanza,Bondo,-0.172688,34.397,36,12
Gunda Arut,Nyanza,Bondo,-0.093704,34.3991,33,12
Luoro,Nyanza,Bondo,-0.10376,34.3992,39,20
Nakhwana,Western,Teso,0.5787,34.4048,278,236
Wera,Nyanza,Bondo,-0.149884,34.4081,36,12
Alara,Nyanza,Bondo,-0.135736,34.4085,46,14
Kandhere,Nyanza,Bondo,-0.133078,34.42,40,24
Osiri,Nyanza,Kisumu,-0.12465,34.60392,154,38
Misikhu,Western,Bungoma,0.7152,34.7136,57,36
Mwamosioma,Nyanza,Kisii Central,-0.6523,34.7859,233,99
Kandiang'a,Nyanza,Nyando,-0.3307,34.8694,158,84
Birongo,Nyanza,Kisii Central,-0.7457,34.8758,143,48
Koibem,Rift Valley,Nandi,0.158115,34.9502,185,10
Kabaskei,Rift Valley,Nandi,0.149085,34.9536,134,40
Kiborgok,Rift Valley,Nandi,0.203809,34.9746,201,15